Id,Name,SKU,Description,Price,Stock,CategoryId,IsActive,LucaId,Barcode,katana_product_id,katana_order_id,CreatedAt,UpdatedAt
--,----,---,-----------,-----,-----,----------,--------,------,-------,-----------------,---------------,---------,---------
2,Presli Boru,PUT. Ø22*1,5,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:26.7282431,2025-12-06 21:54:26.7283259
3,Ø38x1,5-2,Ø38x1,5-2,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:26.9763656,2025-12-06 21:54:26.9763657
4,Ø38x1,5-1,Ø38x1,5-1,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:27.0419806,2025-12-06 21:54:27.0419807
5,Ø38x2-2,Ø38x2-2,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:27.0793740,2025-12-06 21:54:27.0793742
6,Ø38x2-1,Ø38x2-1,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:27.1111380,2025-12-06 21:54:27.1111381
7,Ø63x1,5-4,Ø63x1,5-3,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:27.1457778,2025-12-06 21:54:27.1457779
8,Ø63x1,5-2,Ø63x1,5-2,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:27.5103847,2025-12-06 21:54:27.5103848
9,Ø63x1,5-1,Ø63x1,5-1,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:27.6250819,2025-12-06 21:54:27.6250819
10,Ø76x1,5-4,Ø76x1,5-4,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:27.6574326,2025-12-06 21:54:27.6574326
11,Ø76x1,5-3,Ø76x1,5-3,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:28.2473274,2025-12-06 21:54:28.2473276
12,Ø76x1,5-2,Ø76x1,5-2,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:28.3115095,2025-12-06 21:54:28.3115096
13,Ø76x1,5-1,Ø76x1,5-1,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:28.3716249,2025-12-06 21:54:28.3716249
14,Pipe-2,9855411580,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:28.3922626,2025-12-06 21:54:28.3922627
15,81.06301-8212,81.06301-8212,NULL,67.85,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:28.4250418,2025-12-06 21:54:28.4250419
16,81.06301-8211,81.06301-8211,NULL,67.85,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:28.5115718,2025-12-06 21:54:28.5115719
17,485-320-0768,485-320-0768,NULL,11.08,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:28.5430499,2025-12-06 21:54:28.5430500
18,Boru,235802001AC01,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:28.5750585,2025-12-06 21:54:28.5750586
19,Arka Salýncak,235802001AC,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:28.6033952,2025-12-06 21:54:28.6033953
20,Arka Poryo,235802001AB,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:28.6386660,2025-12-06 21:54:28.6386661
21,TORNA,235802001AB06,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:28.7116794,2025-12-06 21:54:28.7116794
22,SAC,235802001AA01,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:28.7721266,2025-12-06 21:54:28.7721267
24,Arka Süspaniyon Kep,235802001AA,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:28.8476338,2025-12-06 21:54:28.8476339
25,KARINCA 2026,135802001,NULL,3500.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:28.9115658,2025-12-06 21:54:28.9115659
26,silllllllll,sillll3l3ll3l3l,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:28.9598707,2025-12-06 21:54:28.9598708
27,sill6,silll12344,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:29.0112490,2025-12-06 21:54:29.0112490
28,093-58064-083,6250681,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:29.0742322,2025-12-06 21:54:29.0742323
29,83.9945.3A Ø 38 mm JCI CUPPER DISC D.38,387758,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:29.2270103,2025-12-06 21:54:29.2270104
30,093-58064-032,6250666,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:29.5433640,2025-12-06 21:54:29.5433641
31,Ø35*1,5 PIPE,PIPE_8_VWGH_160_V5,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:29.6134478,2025-12-06 21:54:29.6134478
33,COPPER PIPE,PIPE_7_VWGH_160_V5,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:29.6876925,2025-12-06 21:54:29.6876926
36,32 20 00126 ART3000-3300-4000-4400 LÝKÝT DEPO ÇIKIÞ-DRYER GÝRÝÞ BORUSU,CL-29 02 00347 01,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:29.7422807,2025-12-06 21:54:29.7422809
49,Ø54*2 BAKIR BORU,PIPE_41_VWGH_160_V5,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:35.6525811,2025-12-06 21:54:35.6525812
50,HURDA DEMÝR,BFM-03,NULL,250.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:35.9069028,2025-12-06 21:54:35.9069029
52,PÝRÝNÇ TALAÞ,BFM-07,NULL,10.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:37.1064710,2025-12-06 22:53:14.8513449
54,DEMÝR TALAÞ,BFM-04,NULL,50.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:37.5220096,2025-12-06 21:54:37.5220097
57,TEST GUNCELLEME - %1 KDV LI MUHTELIF ALIMLAR,HIZ01,NULL,123.45,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:38.0065670,2025-12-17 20:27:21.4290581
58,BAKIR BORU HURDA,BFM-06,NULL,5.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:38.5204681,2025-12-06 21:54:38.5204683
59,Ø35 BAKIR BORU-7594913C,MZ11.5650471,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:38.6146860,2025-12-06 21:54:38.6146861
60,ALÜMÝNYUM HURDA,BFM-05,NULL,50.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:38.6839706,2025-12-06 21:54:38.6839707
61,PÝRÝNÇ TAKOZ ( 22*39  boy : 29 mm ) DJ COOL,P-TKZ-SAG-B12,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:38.7685317,2025-12-06 21:54:38.7685318
62,KROM HURDA,BFM-02,NULL,250.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:38.9641600,2025-12-06 21:54:38.9641601
63,KROM TALAÞ,BFM-01,NULL,200.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:39.0219127,2025-12-06 21:54:39.0219129
64,NETSÝS KONTROL ET1,9310011,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:39.1219635,2025-12-06 21:54:39.1219636
65,NETSÝS KONTROL ET4,9320487,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:39.5615585,2025-12-06 21:54:39.5615586
66,NETSÝS KONTROL ET2,9310024,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:39.7210828,2025-12-06 21:54:39.7210829
67,NETSÝS KONTROL ET7,OR-AA22-01,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:39.7575450,2025-12-06 21:54:39.7575450
68,NETSÝS KONTROL ET3,9310030,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:39.8395130,2025-12-06 21:54:39.8395131
69,NETSÝS KONTROL ET8,OR-AA24-01,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:39.9187720,2025-12-06 21:54:39.9187721
70,NETSÝS KONTROL ET5,OIO-AA19-01,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:40.4525522,2025-12-06 21:54:40.4525523
71,NETSÝS KONTROL ET6,OIO-AA24-01,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:40.6005107,2025-12-06 21:54:40.6005108
72,NETSÝSTEN KONTROL 5057,14206-HRT 2,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:40.6816239,2025-12-06 21:54:40.6816240
73,NETSÝSTEN KONTROL 5052,29 02 00045 05-03,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:40.8502205,2025-12-06 21:54:40.8502206
74,NETSÝSTEN KONTROL 5053,1-1020-FLANS,NULL,.00,0,1,1,NULL,NULL,NULL,NULL,2025-12-06 21:54:40.9404653,2025-12-06 21:54:40.9404654
